,ECOREIGON_ID,ECOZONE_ID,ECOZONE_NAME
0,139,9,Boreal Plains
1,139,9,Boreal Plains
2,139,9,Boreal Plains
3,139,9,Boreal Plains
4,148,9,Boreal Plains
5,148,9,Boreal Plains
6,149,9,Boreal Plains
7,149,9,Boreal Plains
8,143,9,Boreal Plains
9,143,9,Boreal Plains
10,139,9,Boreal Plains
11,139,9,Boreal Plains
12,155,9,Boreal Plains
13,155,9,Boreal Plains
14,139,9,Boreal Plains
15,139,9,Boreal Plains
16,139,9,Boreal Plains
17,139,9,Boreal Plains
18,139,9,Boreal Plains
19,139,9,Boreal Plains
20,139,9,Boreal Plains
21,139,9,Boreal Plains
22,137,9,Boreal Plains
23,137,9,Boreal Plains
24,142,9,Boreal Plains
25,142,9,Boreal Plains
26,138,9,Boreal Plains
27,138,9,Boreal Plains
28,136,9,Boreal Plains
29,136,9,Boreal Plains
30,145,9,Boreal Plains
31,145,9,Boreal Plains
32,139,9,Boreal Plains
33,139,9,Boreal Plains
34,145,9,Boreal Plains
35,145,9,Boreal Plains
36,139,9,Boreal Plains
37,139,9,Boreal Plains
38,139,9,Boreal Plains
39,139,9,Boreal Plains
40,199,14,Montane Cordillera
41,198,14,Montane Cordillera
42,200,14,Montane Cordillera
43,207,14,Montane Cordillera
44,202,14,Montane Cordillera
45,201,14,Montane Cordillera
46,205,14,Montane Cordillera
47,206,14,Montane Cordillera
48,213,14,Montane Cordillera
49,214,14,Montane Cordillera
50,209,14,Montane Cordillera
51,204,14,Montane Cordillera
52,212,14,Montane Cordillera
53,208,14,Montane Cordillera
54,211,14,Montane Cordillera
55,210,14,Montane Cordillera
56,203,14,Montane Cordillera
57,189,13,Pacific Maritime
58,189,13,Pacific Maritime
59,189,13,Pacific Maritime
60,189,13,Pacific Maritime
61,188,13,Pacific Maritime
62,188,13,Pacific Maritime
63,188,13,Pacific Maritime
64,188,13,Pacific Maritime
65,191,13,Pacific Maritime
66,191,13,Pacific Maritime
67,191,13,Pacific Maritime
68,191,13,Pacific Maritime
69,190,13,Pacific Maritime
70,190,13,Pacific Maritime
71,190,13,Pacific Maritime
72,190,13,Pacific Maritime
73,192,13,Pacific Maritime
74,192,13,Pacific Maritime
75,192,13,Pacific Maritime
76,192,13,Pacific Maritime
77,185,13,Pacific Maritime
78,185,13,Pacific Maritime
79,185,13,Pacific Maritime
80,185,13,Pacific Maritime
